id,name,category,price,isOfferApplied,discountPercentage,priceAfterDiscount
,pants,Home Decor,4558.88,TRUE,87.24,331.07
,gloves,Sports Equipment,1539.52,FALSE,38.6,1155.64
,shirt,Electronics,509.51,TRUE,38.19,752.96
,shirt,Toys,2329.61,TRUE,99.67,3852.03
,pants,Electronics,1560.04,FALSE,0.7,1618.5
,pants,Toys,283.62,TRUE,11.61,2997.1
,scarf,Sports Equipment,3616.31,TRUE,12.37,4722.25
,socks,Electronics,235.2,TRUE,1.29,842.44
,pants,Books,4472.51,FALSE,95.39,2899.18
,gloves,Home Decor,272.16,FALSE,91.53,3442.23
,hat,Books,4381.17,FALSE,7.83,4204.55
,gloves,Clothing,560.77,TRUE,21.77,1793.66
,socks,Sports Equipment,46.02,FALSE,21.59,4340.09
,watch,Toys,424.27,TRUE,77.88,4647.15
,scarf,Toys,2845.51,TRUE,87.35,1220.55
,watch,Electronics,2809.8,TRUE,44,4598.43
,hat,Sports Equipment,4986.63,FALSE,48.84,4760.34
,belt,Toys,4666.9,FALSE,69.47,62.82
,jacket,Home Decor,4790.51,FALSE,6.58,4010.81
,belt,Clothing,2643.31,FALSE,35.93,1466.01
,hat,Sports Equipment,1247.56,TRUE,7.17,1912.58
,watch,Sports Equipment,2514.93,TRUE,58.36,2896.57
,socks,Clothing,3654.17,FALSE,61.08,3467.59
,jacket,Toys,4445.79,FALSE,96.04,4883.49
,shirt,Sports Equipment,4268.7,FALSE,90.17,808.46
,socks,Sports Equipment,4898.79,FALSE,31.92,2372.95
,shirt,Home Decor,1000.66,FALSE,10.87,3131.89
,jacket,Electronics,3758.69,FALSE,13.37,1925.72
,belt,Sports Equipment,1388.35,FALSE,7.83,2230.51
,watch,Home Decor,2049.33,TRUE,89.1,3316.33
,jacket,Clothing,401.24,TRUE,11.4,4733.81
,socks,Sports Equipment,2831.45,TRUE,15.47,4992.86
,gloves,Home Decor,3043.16,FALSE,64.86,2061.82
,socks,Home Decor,2325.34,FALSE,69.46,3790.4
,jacket,Clothing,1193.02,TRUE,77.17,3553.8
,hat,Home Decor,3777.34,FALSE,91.24,4973.58
,socks,Books,3433.24,TRUE,40.33,3846.43
,socks,Home Decor,1542.86,TRUE,57.85,435.93
,gloves,Books,2700.86,TRUE,61.54,3273.44
,belt,Electronics,4956.1,FALSE,29.98,4030.27
,gloves,Sports Equipment,3495.85,FALSE,93.57,3754.54
,watch,Toys,4146.98,FALSE,88.59,1024.28
,hat,Electronics,4453.79,FALSE,44.53,4505.64
,gloves,Toys,3304.94,TRUE,27.9,3223.21
,watch,Toys,2754.64,FALSE,62.31,4701.43
,hat,Electronics,3998.64,TRUE,75.81,2324.63
,shirt,Home Decor,623.09,FALSE,74.98,3669.14
,watch,Books,3374.14,TRUE,26.73,3309.02
,pants,Electronics,3234.89,TRUE,41.46,3996.5
,shoes,Toys,4547.01,TRUE,53.93,1750.95
,pants,Books,1308.27,TRUE,41.49,1313.82
,pants,Electronics,2449.57,FALSE,16.05,95.76
,pants,Books,3218.61,FALSE,73.9,1018.82
,pants,Clothing,374.09,FALSE,60.16,2621.4
,scarf,Home Decor,4485.34,FALSE,3.52,1808.42
,scarf,Books,307.21,TRUE,16.56,1029
,scarf,Sports Equipment,4961.12,FALSE,35.64,4424.12
,gloves,Clothing,4942.06,FALSE,6.04,4010.25
,scarf,Clothing,4002.14,TRUE,27.27,2280.9
,watch,Books,1566.95,TRUE,89.18,4048.88
,scarf,Clothing,2528.99,TRUE,36.87,2365.98
,jacket,Sports Equipment,4055.7,TRUE,28.76,474.87
,watch,Home Decor,868.34,FALSE,48.59,1821.56
,hat,Toys,521.63,TRUE,83.92,4370.52
,shoes,Sports Equipment,3157.87,TRUE,84.99,1346.77
,scarf,Clothing,1617.26,TRUE,86.3,1403.45
,belt,Electronics,2263.57,FALSE,91.74,2930.81
,hat,Toys,1288.69,FALSE,1.79,3783.68
,shoes,Electronics,2018.61,TRUE,19.84,957.82
,watch,Toys,534.71,FALSE,27.89,4237.63
,watch,Clothing,1916.71,TRUE,83.2,4818.87
,jacket,Home Decor,3531.36,TRUE,10.04,2719.03
,jacket,Sports Equipment,3214.48,TRUE,42.31,2509.84
,pants,Electronics,154.13,FALSE,4.5,2551.91
,hat,Clothing,4682.84,TRUE,62.08,2992.88
,jacket,Home Decor,3172.57,FALSE,0.36,3209
,scarf,Electronics,4015.02,TRUE,75.84,4837.85
,scarf,Toys,1163.58,FALSE,54.42,1937.8
,socks,Electronics,1255.07,FALSE,39.06,2405.8
,hat,Books,1368.58,TRUE,47.2,0.56
,socks,Sports Equipment,4928.84,TRUE,58.74,4473.29
,shoes,Clothing,1788.41,TRUE,20.35,4513.01
